nodeId,clusterId,clusterLevel,parentCluster
0_0,0,0
0_37,0,0
0_38,0,0
0_39,0,0
0_40,0,0
0_41,0,0
0_42,0,0
0_43,0,0
0_44,0,0
0_45,0,0
0_46,0,0
0_49,0,0
0_50,0,0
0_51,0,0
0_58,0,0
0_59,0,0
0_62,0,0
0_63,0,0
0_64,0,0
0_66,0,0
0_76,0,0
0_78,0,0
0_79,0,0
0_84,0,0
0_87,0,0
0_90,0,0
0_91,0,0
0_95,0,0
0_96,0,0
0_98,0,0
0_100,0,0
0_103,0,0
0_104,0,0
0_107,0,0
0_109,0,0
0_110,0,0
0_117,0,0
0_118,0,0
0_119,0,0
0_121,0,0
0_123,0,0
0_124,0,0
0_125,0,0
0_126,0,0
0_130,0,0
0_131,0,0
0_134,0,0
0_136,0,0
0_138,0,0
0_147,0,0
0_148,0,0
0_151,0,0
0_152,0,0
0_158,0,0
0_165,0,0
0_168,0,0
0_174,0,0
0_177,0,0
0_178,0,0
0_179,0,0
0_186,0,0
0_190,0,0
0_200,0,0
0_201,0,0
0_203,0,0
0_205,0,0
0_207,0,0
0_208,0,0
0_209,0,0
0_221,0,0
0_222,0,0
0_223,0,0
0_224,0,0
0_225,0,0
0_228,0,0
0_229,0,0
0_230,0,0
0_235,0,0
0_238,0,0
0_240,0,0
0_245,0,0
0_247,0,0
0_250,0,0
0_255,0,0
0_258,0,0
0_265,0,0
0_267,0,0
0_274,0,0
0_275,0,0
0_277,0,0
0_280,0,0
0_282,0,0
0_288,0,0
0_297,0,0
0_298,0,0
0_300,0,0
0_302,0,0
0_305,0,0
0_311,0,0
0_312,0,0
0_322,0,0
0_336,0,0
0_341,0,0
0_350,0,0
0_351,0,0
0_355,0,0
0_361,0,0
0_362,0,0
0_365,0,0
0_366,0,0
0_369,0,0
0_372,0,0
0_376,0,0
0_399,0,0
0_400,0,0
0_406,0,0
0_407,0,0
0_409,0,0
0_424,0,0
0_427,0,0
0_429,0,0
0_430,0,0
0_433,0,0
0_448,0,0
0_461,0,0
0_462,0,0
0_482,0,0
0_483,0,0
0_488,0,0
0_491,0,0
0_503,0,0
0_507,0,0
0_508,0,0
0_509,0,0
0_511,0,0
0_513,0,0
0_521,0,0
0_525,0,0
0_527,0,0
0_529,0,0
0_536,0,0
0_540,0,0
0_543,0,0
0_554,0,0
0_556,0,0
0_558,0,0
0_563,0,0
0_567,0,0
0_569,0,0
0_572,0,0
0_574,0,0
0_578,0,0
0_579,0,0
0_580,0,0
0_581,0,0
0_588,0,0
0_594,0,0
0_614,0,0
0_616,0,0
0_620,0,0
0_625,0,0
0_626,0,0
0_627,0,0
0_629,0,0
0_637,0,0
0_644,0,0
0_651,0,0
0_663,0,0
0_664,0,0
0_667,0,0
0_669,0,0
0_672,0,0
0_675,0,0
0_676,0,0
0_677,0,0
0_680,0,0
0_684,0,0
0_702,0,0
0_704,0,0
0_706,0,0
0_714,0,0
0_716,0,0
4_92,0,0
5_228,0,0
2_57,0,0
0_1,0,0
0_2,0,0
0_3,0,0
0_4,0,0
0_5,0,0
0_6,0,0
0_7,0,0
0_8,0,0
0_9,0,0
0_10,0,0
0_11,0,0
0_12,0,0
0_13,0,0
0_14,0,0
0_15,0,0
0_16,0,0
0_17,0,0
0_18,0,0
0_19,0,0
0_20,0,0
0_21,0,0
0_22,0,0
0_23,0,0
0_24,0,0
0_25,0,0
0_26,0,0
0_27,0,0
0_28,0,0
0_29,0,0
0_30,0,0
0_31,0,0
0_32,0,0
0_33,0,0
0_34,0,0
0_35,0,0
0_36,0,0
0_47,0,0
0_48,0,0
0_52,0,0
0_53,0,0
0_54,0,0
0_55,0,0
0_56,0,0
0_57,0,0
0_60,0,0
0_61,0,0
0_65,0,0
0_67,0,0
0_68,0,0
0_69,0,0
0_70,0,0
0_71,0,0
0_72,0,0
0_73,0,0
0_74,0,0
0_75,0,0
0_77,0,0
0_81,0,0
0_82,0,0
0_83,0,0
0_85,0,0
0_86,0,0
0_88,0,0
0_89,0,0
0_92,0,0
0_93,0,0
0_94,0,0
0_97,0,0
0_99,0,0
0_101,0,0
0_102,0,0
0_105,0,0
0_106,0,0
0_108,0,0
0_111,0,0
0_112,0,0
0_114,0,0
0_115,0,0
0_116,0,0
0_120,0,0
0_122,0,0
0_128,0,0
0_129,0,0
0_133,0,0
0_137,0,0
0_139,0,0
0_140,0,0
0_141,0,0
0_144,0,0
0_149,0,0
0_150,0,0
0_154,0,0
0_155,0,0
0_157,0,0
0_161,0,0
0_162,0,0
0_166,0,0
0_172,0,0
0_173,0,0
0_176,0,0
0_183,0,0
0_185,0,0
0_187,0,0
0_188,0,0
0_192,0,0
0_193,0,0
0_194,0,0
0_197,0,0
0_198,0,0
0_202,0,0
0_206,0,0
0_211,0,0
0_213,0,0
0_215,0,0
0_218,0,0
0_219,0,0
0_233,0,0
0_234,0,0
0_239,0,0
0_251,0,0
0_252,0,0
0_253,0,0
0_254,0,0
0_257,0,0
0_261,0,0
0_264,0,0
0_269,0,0
0_278,0,0
0_279,0,0
0_286,0,0
0_290,0,0
0_294,0,0
0_296,0,0
0_301,0,0
0_313,0,0
0_316,0,0
0_323,0,0
0_325,0,0
0_329,0,0
0_340,0,0
0_346,0,0
0_348,0,0
0_359,0,0
0_360,0,0
0_363,0,0
0_368,0,0
0_373,0,0
0_380,0,0
0_383,0,0
0_391,0,0
0_403,0,0
0_404,0,0
0_408,0,0
0_414,0,0
0_416,0,0
0_421,0,0
0_425,0,0
0_426,0,0
0_436,0,0
0_438,0,0
0_439,0,0
0_452,0,0
0_458,0,0
0_463,0,0
0_469,0,0
0_470,0,0
0_471,0,0
0_472,0,0
0_474,0,0
0_476,0,0
0_477,0,0
0_478,0,0
0_479,0,0
0_480,0,0
0_495,0,0
0_501,0,0
0_512,0,0
0_517,0,0
0_518,0,0
0_528,0,0
0_530,0,0
0_535,0,0
0_541,0,0
0_545,0,0
0_547,0,0
0_551,0,0
0_559,0,0
0_564,0,0
0_568,0,0
0_577,0,0
0_585,0,0
0_591,0,0
0_593,0,0
0_619,0,0
0_624,0,0
0_630,0,0
0_641,0,0
0_645,0,0
0_656,0,0
0_678,0,0
0_685,0,0
0_686,0,0
0_688,0,0
0_690,0,0
0_701,0,0
0_707,0,0
0_708,0,0
0_713,0,0
4_662,0,0
4_324,0,0
4_400,0,0
0_80,0,0
0_145,0,0
0_146,0,0
0_159,0,0
0_160,0,0
0_164,0,0
0_170,0,0
0_171,0,0
0_180,0,0
0_181,0,0
0_182,0,0
0_184,0,0
0_189,0,0
0_191,0,0
0_195,0,0
0_196,0,0
0_199,0,0
0_204,0,0
0_210,0,0
0_216,0,0
0_220,0,0
0_226,0,0
0_231,0,0
0_236,0,0
0_237,0,0
0_243,0,0
0_256,0,0
0_260,0,0
0_268,0,0
0_270,0,0
0_271,0,0
0_273,0,0
0_276,0,0
0_281,0,0
0_287,0,0
0_293,0,0
0_303,0,0
0_304,0,0
0_306,0,0
0_307,0,0
0_309,0,0
0_310,0,0
0_314,0,0
0_315,0,0
0_320,0,0
0_326,0,0
0_331,0,0
0_337,0,0
0_338,0,0
0_349,0,0
0_352,0,0
0_364,0,0
0_367,0,0
0_371,0,0
0_374,0,0
0_384,0,0
0_390,0,0
0_392,0,0
0_394,0,0
0_396,0,0
0_401,0,0
0_417,0,0
0_422,0,0
0_435,0,0
0_444,0,0
0_446,0,0
0_451,0,0
0_453,0,0
0_457,0,0
0_459,0,0
0_465,0,0
0_473,0,0
0_492,0,0
0_497,0,0
0_498,0,0
0_506,0,0
0_514,0,0
0_515,0,0
0_539,0,0
0_542,0,0
0_548,0,0
0_553,0,0
0_570,0,0
0_583,0,0
0_587,0,0
0_596,0,0
0_597,0,0
0_607,0,0
0_608,0,0
0_609,0,0
0_610,0,0
0_617,0,0
0_628,0,0
0_638,0,0
0_642,0,0
0_649,0,0
0_653,0,0
0_666,0,0
0_673,0,0
0_712,0,0
2_185,0,0
2_25,0,0
4_423,0,0
8_120,0,0
2_37,0,0
2_283,0,0
8_138,0,0
8_38,0,0
0_113,0,0
0_127,0,0
0_132,0,0
0_143,0,0
0_156,0,0
0_163,0,0
0_169,0,0
0_212,0,0
0_227,0,0
0_241,0,0
0_242,0,0
0_248,0,0
0_262,0,0
0_291,0,0
0_295,0,0
0_319,0,0
0_324,0,0
0_330,0,0
0_335,0,0
0_342,0,0
0_354,0,0
0_381,0,0
0_393,0,0
0_397,0,0
0_405,0,0
0_411,0,0
0_418,0,0
0_419,0,0
0_428,0,0
0_431,0,0
0_432,0,0
0_455,0,0
0_486,0,0
0_487,0,0
0_489,0,0
0_490,0,0
0_504,0,0
0_526,0,0
0_531,0,0
0_546,0,0
0_560,0,0
0_571,0,0
0_586,0,0
0_612,0,0
0_622,0,0
0_636,0,0
0_648,0,0
0_654,0,0
0_655,0,0
0_660,0,0
0_674,0,0
0_698,0,0
0_703,0,0
0_717,0,0
5_325,0,0
9_82,0,0
2_135,0,0
14_34,0,0
0_135,0,0
0_153,0,0
0_175,0,0
0_214,0,0
0_217,0,0
0_259,0,0
0_272,0,0
0_289,0,0
0_327,0,0
0_343,0,0
0_347,0,0
0_357,0,0
0_388,0,0
0_412,0,0
0_447,0,0
0_454,0,0
0_481,0,0
0_510,0,0
0_522,0,0
0_565,0,0
0_566,0,0
0_576,0,0
0_592,0,0
0_598,0,0
0_599,0,0
0_634,0,0
0_635,0,0
0_639,0,0
0_687,0,0
0_700,0,0
0_715,0,0
2_226,0,0
